subject,signal_length,signal_length_sec,window_size_sec,mode,mean_hr,std_hr,n_windows_valid,n_windows_total
203,1920,64.0,3,overlapping,73.23895123314621,6.191420966886854,41,41
203,1920,64.0,4,non_overlapping,73.58141346669738,5.464656318527911,16,16
203,1920,64.0,4,overlapping,73.449264292907,5.200302466997288,31,31
203,1920,64.0,5,non_overlapping,74.09386932823965,3.002374035667853,12,12
203,1920,64.0,5,overlapping,73.69121421640163,4.276462547956931,24,24
204,160,5.3,3,non_overlapping,84.41558441558442,0.0,1,1
204,160,5.3,3,overlapping,83.1733483907397,1.242236024844722,2,2
204,160,5.3,4,non_overlapping,83.76623376623377,0.0,1,1
204,160,5.3,4,overlapping,83.76623376623377,0.0,1,1
204,160,5.3,5,non_overlapping,81.93111236589498,0.0,1,1
204,160,5.3,5,overlapping,81.93111236589498,0.0,1,1
204,320,10.7,3,non_overlapping,79.6207415772633,3.390705870083189,3,3
204,320,10.7,3,overlapping,78.64671560323734,3.3658827972080063,6,6
204,320,10.7,4,non_overlapping,79.92659514398645,3.839638622247321,2,2
204,320,10.7,4,overlapping,81.23500141163184,5.111701808169204,4,4
204,320,10.7,5,non_overlapping,79.4734613212874,2.457651044607566,2,2
204,320,10.7,5,overlapping,78.90457368718238,2.161935564530621,3,3
204,480,16.0,3,non_overlapping,80.74387351778655,6.659538533986763,5,5
204,480,16.0,3,overlapping,78.85971516406299,5.82954986969601,9,9
204,480,16.0,4,non_overlapping,80.2490118577075,5.698939895491221,4,4
204,480,16.0,4,overlapping,81.85367427603452,5.79089040890982,7,7
204,480,16.0,5,non_overlapping,80.29183135704875,2.3164969534992146,3,3
204,480,16.0,5,overlapping,80.75131564088086,2.9891370907763504,5,5
204,1920,64.0,3,non_overlapping,73.48289518165295,6.203482996219841,21,21
204,1920,64.0,3,overlapping,73.41137912399842,6.061151592479696,41,41
204,1920,64.0,4,non_overlapping,74.19338866145931,6.980007497789058,16,16
204,1920,64.0,4,overlapping,74.36150093478282,6.756130257722111,31,31
204,1920,64.0,5,non_overlapping,74.38297226123312,5.358147511578306,12,12
204,1920,64.0,5,overlapping,74.05781587575065,5.700458778986583,24,24
205,160,5.3,3,non_overlapping,81.25,0.0,1,1
205,160,5.3,3,overlapping,78.66847826086956,2.5815217391304373,2,2
205,160,5.3,4,non_overlapping,79.6875,0.0,1,1
205,160,5.3,4,overlapping,79.6875,0.0,1,1
205,160,5.3,5,non_overlapping,79.40217391304347,0.0,1,1
205,160,5.3,5,overlapping,79.40217391304347,0.0,1,1
205,320,10.7,3,non_overlapping,76.12681159420289,3.8414580619873995,3,3
205,320,10.7,3,overlapping,74.84071906354515,3.335398470866124,6,6
205,320,10.7,4,non_overlapping,76.21875,3.46875,2,2
205,320,10.7,4,overlapping,74.65034489966555,3.2382176993792458,4,4
205,320,10.7,5,non_overlapping,75.72416387959865,3.6780100334448136,2,2
205,320,10.7,5,overlapping,75.30016722408027,3.0623604510021423,3,3
205,480,16.0,3,non_overlapping,78.23063241106719,6.108724922342642,5,5
205,480,16.0,3,overlapping,76.68630282760718,5.199192853459789,9,9
205,480,16.0,4,non_overlapping,77.64368444055944,4.433519527630405,4,4
205,480,16.0,4,overlapping,77.23634680536854,4.87649887472225,7,7
205,480,16.0,5,non_overlapping,77.95938988547682,4.360157772235857,3,3
205,480,16.0,5,overlapping,77.85972940103375,3.9582165419680013,5,5
205,1920,64.0,3,non_overlapping,76.10059385059384,5.906781609475924,21,21
205,1920,64.0,3,overlapping,75.29870166322121,5.832474726627498,41,41
